UEID	UEPos.X	UEPos.Y	NBID	NBPos.X	NBPos.Y	Distance
0	-42.9396	21.7693	0	-47	25	5.18885	
1	1.94059	22.3696	2	13	25	11.3679	
2	0.350025	10.2997	2	13	25	19.3938	
3	40.8307	35.6057	3	43	25	10.8253	
4	-61.1404	27.4452	0	-47	25	14.3502	
5	-7.24993	41.5405	1	-17	25	19.2003	
6	7.63816	20.4502	2	13	25	7.03205	
7	31.6483	17.6626	3	43	25	13.5166	
8	-45.8849	29.303	0	-47	25	4.44511	
9	-18.8592	9.89547	1	-17	25	15.2185	
10	18.1363	29.0016	2	13	25	6.51108	
11	38.6571	7.56508	3	43	25	17.9677	
12	-54.9287	23.7644	0	-47	25	8.02445	
13	-20.5011	10.3415	1	-17	25	15.0708	
14	3.09713	38.4524	2	13	25	16.7043	
15	60.392	19.7557	3	43	25	18.1655	
16	-50.2239	38.1849	0	-47	25	13.5733	
17	-27.1125	12.1117	1	-17	25	16.382	
18	22.6449	25.3745	2	13	25	9.65213	
19	54.7025	37.3059	3	43	25	16.9819	
20	-39.733	23.5291	0	-43	25	3.58284	
21	-4.44233	27.3421	1	-13	25	8.87239	
22	9.4085	31.1633	2	17	25	9.77839	
23	51.6443	24.2529	3	47	25	4.70397	
24	-56.3939	12.7047	0	-43	25	18.1816	
25	-5.3617	34.567	1	-13	25	12.2422	
26	2.24181	29.8441	2	17	25	15.5329	
27	45.1131	43.8921	3	47	25	18.9861	
28	-53.2674	24.3766	0	-43	25	10.2863	
29	-16.9261	28.8859	1	-13	25	5.52399	
30	21.9952	32.106	2	17	25	8.68607	
31	30.6287	32.6685	2	17	25	15.638	
32	-34.4423	27.3421	0	-43	25	8.87239	
33	-27.8538	12.0642	1	-13	25	19.697	
34	15.8196	41.9096	2	17	25	16.9508	
35	40.9417	34.9076	3	47	25	11.6131	
36	-48.7814	19.8977	0	-43	25	7.71096	
37	-22.9372	28.4845	1	-13	25	10.5305	
38	13.6506	31.7595	2	17	25	7.5438	
39	57.2633	17.9499	3	47	25	12.4514	
